Date,Category,Rank,Product,Stars,N_Opinions,Price
28/10/2020,Amazon Launchpad,23,"Soporte Móvil, Lamicall Soporte Teléfono - Soporte Dock Base para Teléfono para iPhone 12 Mini, 12 Pro Max, 11 Pro, Xs Xs Max XR X 8 7 6 plus 5 4, Samsung S10 S9 S8, Huawei, Otras Smartphones - Plata",4.6,17879,11.99
28/10/2020,Amazon Launchpad,24,"Tangle Teezer Wet detangler Midnight Black, biegsamen cerdas y mango nrevive",4.6,3811,9.27
28/10/2020,Amazon Launchpad,25,"Allocacoc 1100GN/DEORPC Power Cube Original, 16 W, Verde",4.6,908,11.51
28/10/2020,Amazon Launchpad,26,Leazy Cordones Elásticos sin Nudo para Zapatillas - Anclaje Sencillo en las Puntas - Cordones sin Atar para Niños y Adultos,4.2,2300,9.95
28/10/2020,Amazon Launchpad,27,"DUAL Pro CAFFEINE | Cafeína 100% Pura Certificada por Laboratorio | 120 Pastillas De Cafeína De Dosis Alta | Sin Aditivos Adicionales, Vegano y Sin Gluten | Suministro De 4 Meses | Hecho En la UE",4.1,614,11.18
28/10/2020,Amazon Launchpad,28,POWERCUBE ORIGINAL USB,4.5,1498,13.08
28/10/2020,Amazon Launchpad,29,"Soporte Movil Bicicleta, Lamicall Soporte Motocicleta - Rotación 360° Soporte Manillar para iPhone 12 Mini, 12 Pro Max, 11 Pro, XS Max, X, XR, 8, 7, 6S, Samsung S10 S9 S8, Huawei, 4.7-6.8"" Smartphones",4.5,1527,19.99
28/10/2020,Amazon Launchpad,30,Tractive Batería de repuesto para el localizador GPS para Gatos,4.3,2133,11.99
28/10/2020,Amazon Launchpad,31,CooSpo Banda de Frecuencia Cardiaca Bluetooth 4.0 Ant+ Monitor Sensor de Frecuencia Cardíaca Compatible con Garmin Wahoo Zwift Endomodo y Otros,4.4,579,27.99
28/10/2020,Amazon Launchpad,32,COLETERO INVISIBOBBLE SHINE BRONZE ME PRETTY,4.5,1135,1.95
28/10/2020,Amazon Launchpad,33,"1MORE Piston Fit In-Ear Earphones Auriculares Duraderos de Moda con Aislamiento de Ruido, Sonido Puro, Control del Teléfono con Micrófono para Teléfonos Inteligentes / PC / Tableta,Silver",4.0,1268,16.99
28/10/2020,Amazon Launchpad,34,DUAL 28 Days Fat-Burner Tea| Té Quemador de Grasa para Pérdida de Peso | Té desintoxicante | Infusión de Dieta y Para Bajar de Peso|Té Limpiador|Suplemento Dietético Natural|Hecho en Alemania|85g,4.0,2541,17.90
28/10/2020,Amazon Launchpad,35,"tado° Termostato Inteligente Cableado - Accesorio para control de habitaciones múltiples, control de calefacción inteligente, Instálalo tú mismo",4.5,347,111.00
28/10/2020,Amazon Launchpad,36,"Femometer 50 Pruebas de Ovulación 20 mIU/ml y, Resultados Precisos con la App (iOS & Android) Reconocimiento Automático de los Resultados de las Pruebas",4.4,1249,13.99
28/10/2020,Amazon Launchpad,37,CooSpo Sensor de Velocidad o Cadencia RPM con Doble Módulo Bluetooth 4.0 Ant + para la Computadora de la Bici,4.1,404,20.99
28/10/2020,Amazon Launchpad,38,CooSpo Frecuencia Cardíaca Bluetooth Banda Monitor Sensor de Frecuencia Cardíaca Deportivo Ant+ para Garmin Wahoo Suunto Polar UA Run…,4.4,438,26.99
28/10/2020,Amazon Launchpad,39,"Auriculares Inalámbricos Bluetooth 5.1, BassPal Auriculares Wireless Impermeables IPX7 con Deep Bass, Un Paso Emparejamiento, Mini Portátil Caja de Carga, In-Ear Sport Cascos para iOS y Android",4.2,1110,32.99
28/10/2020,Amazon Launchpad,40,"papalook Webcam 1080P, PA452 de Alta Definición con Micrófono con Gran Apertura Compatible con Skype, MSN, Facebook, Google Hangouts, Webcam de USB Plug and Play, Web CAM para Ordenador, PC, etc",4.2,3611,47.99
28/10/2020,Amazon Launchpad,41,Olaplex No.5 Bond Maintenance Conditioner 250 ml,4.6,8790,18.53
28/10/2020,Amazon Launchpad,42,Ledger Nano S - V1.4 - Monedero Hardware de criptomonedas - Saffron Yellow,4.4,4606,58.00
28/10/2020,Amazon Launchpad,43,Vipalia Pack de 2 Colchas Multiusos Sofa. Plaids para Cama. Mantas Foulard Cubresofa Cubrecama. Comodas Practicas y Suaves. Calidad Diseño. Paul 180 x 260 cm Azul,4.3,222,18.95
28/10/2020,Amazon Launchpad,44,"Pistola de masaje eléctrica con 30 velocidades, 6 cabezales de masaje, pantalla LCD táctil, pistola de masaje (Negro)",4.8,1782,99.99
28/10/2020,Amazon Launchpad,45,"Eiffel Textile Milán Funda de Sofá, 94% poliéster 6% Elastano, Azúl, 1 Plaza",3.8,238,18.95
28/10/2020,Amazon Launchpad,46,"2 x Férula dental de descarga nocturna, anti bruxismo (rechinar los dientes), trastornos del ATM",3.8,203,10.91
28/10/2020,Amazon Launchpad,47,RockDove - Zapatillas de espuma viscoelástica de dos tonos para hombre,4.5,40925,20.18
28/10/2020,Amazon Launchpad,48,Ionocore® Codera de Tenista - Abrazadera para Soporte Deportivo del Brazo de Golfistas y Tenistas - Almohadilla de Compresión EVA para Protección del Antebrazo - Ajustable y Liviana - Talla única,4.0,2732,7.99
28/10/2020,Amazon Launchpad,49,"papalook Webcam 1080P, AF925 con Enfoque Automático y Micrófono de Reducción de Ruido,Diseño Plegable, Giratorio de 360 Grados, Cámara de la Computadora Portátil USB - Negro",4.4,982,89.99
28/10/2020,Amazon Launchpad,50,Smileat Galleta/Panecito Ecológico BIO 60 g,4.0,37,2.10
28/10/2020,Amazon Launchpad,51,BlenderBottle Classic Loop - Botella Mezcladora de Batidos de proteínas con batidor Blenderball 590 ml,4.8,19739,9.99
28/10/2020,Amazon Launchpad,52,DUAL 28 Days Detox Tea - Té desintoxicante | Para Pérdida de Peso |Té Adelgazante y Purificador| Infusión de Dieta Para Pérdida de Grasa|Quemagrasa Natural|Té de hojas sueltas|Hecho en Alemania| 85g,4.3,1463,17.90
28/10/2020,Amazon Launchpad,53,"SwitchBot Smart Switch, Sin Cableado, Aplicación Inalámbrica o Control de Temporizador, Añade SwitchBot Hub Works con Alexa, Google Home, Siri, IFTTT (negro)",4.3,2517,5.00
28/10/2020,Amazon Launchpad,54,"Lamicall Soporte Móvil, Multiángulo Soporte Teléfono - Soporte Dock Base para Teléfono para iPhone 12 Mini, 12 Pro MAX, 11 Pro XS MAX X SE 8 7 6S Plus, Samsung S10 S9 S8, Huawei, Smartphones - Negro",4.7,4594,10.99
28/10/2020,Amazon Launchpad,55,PuTwo Acrílico Almacenaje Algodón Transparente Caja de Bastoncillos algodonero con tapa Algodonero Organizador de Maquillaje Organizador de Baño y Tocador para Bolas de Algodón y Bastoncillos,4.5,818,8.22
28/10/2020,Amazon Launchpad,56,"Eiffel Textile Mónaco Funda de Sofá, 94% poliéster 6% Elastano, Beige, 1 Plaza",4.0,172,22.95
28/10/2020,Amazon Launchpad,57,"Lamicall Soporte Móvil, Multiángulo Soporte Teléfono - Soporte Dock Base para iPhone 12 Mini, 12 Pro MAX, 11 Pro, XS MAX, XS, XR, X, 8, 7, 6 Plus, SE, Samsung S10 S9 S8, Otras Smartphones - Negro",4.6,2675,9.99
28/10/2020,Amazon Launchpad,58,"Rocketbook Cuaderno Digital Inteligente – Planificador Reutilizable Académico de Clase Para Profesores y Estudiantes Con Bolígrafo Frixion Pilot y Paño de Microfibra (Azul, Ejecutivo A5)",4.4,28390,17.95
28/10/2020,Amazon Launchpad,59,"Lamicall Soporte Tablet para Cinta de Correr Bicicleta - Universal Soporte Ajustable para 4.7""~13"" Tablets para 2020 iPad Pro 9.7, 10.5, 12.9, iPad Air 2 3 4, iPad Mini 2 3 4, iPhone, Otras Tablets",4.6,96,19.99
28/10/2020,Amazon Launchpad,60,"Lamicall Soporte Móvil con Cuello de Cisne - Soporte para Teléfono e Smartphones para iPhone 12 Mini, 12 Pro MAX, 11 Pro XS MAX XR X 8 7 6 Plus, Samsung S10 S9 S8, Huawei, Otras Smartphones - Negro",4.5,3422,18.99
28/10/2020,Amazon Launchpad,61,LastSwab Bastoncillos Oídos - Azul Ballena - Bastoncillos Ecológicos Q-Tip - Bastoncillo de Silicona Limpiador Oídos,4.3,512,11.80
28/10/2020,Amazon Launchpad,62,Chlorella Ecológica Premium para 165 días - 500 comprimidos de 500mg - Pared celular rota - Vegano - Libre de Plástico - Certificación Ecológica Oficial,4.6,343,28.75
